Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     1248     0.00     0.00  std::__detail::_Mod<unsigned long, 4294967296ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      0.00     0.00     1248     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 4294967296ul, 1ul, 0ul>(unsigned long)
  0.00      0.00     0.00     1246     0.00     0.00  std::__detail::_Mod<unsigned long, 624ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      0.00     0.00     1246     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 624ul, 1ul, 0ul>(unsigned long)
  0.00      0.00     0.00      232     0.00     0.00  Dvector::getdata()
  0.00      0.00     0.00       76     0.00     0.00  Dvector::~Dvector()
  0.00      0.00     0.00       52     0.00     0.00  Dvector::getdata() const
  0.00      0.00     0.00       40     0.00     0.00  Dvector::Dvector(int, double)
  0.00      0.00     0.00       39     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      0.00     0.00       29     0.00     0.00  Dvector::operator()(int)
  0.00      0.00     0.00       27     0.00     0.00  std::remove_reference<double**&>::type&& std::move<double**&>(double**&)
  0.00      0.00     0.00       19     0.00     0.00  Dvector::Dvector(Dvector const&)
  0.00      0.00     0.00       17     0.00     0.00  Dvector::Dvector()
  0.00      0.00     0.00       14     0.00     0.00  __gnu_cxx::__normal_iterator<PhilipsWave*, std::vector<PhilipsWave, std::allocator<PhilipsWave> > >::base() const
  0.00      0.00     0.00       13     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<int> >, std::is_move_constructible<int>, std::is_move_assignable<int> >::value, void>::type std::swap<int>(int&, int&)
  0.00      0.00     0.00       12     0.00     0.00  __gnu_cxx::__normal_iterator<PhilipsWave const*, std::vector<PhilipsWave, std::allocator<PhilipsWave> > >::base() const
  0.00      0.00     0.00       12     0.00     0.00  PhilipsWave* std::__addressof<PhilipsWave>(PhilipsWave&)
  0.00      0.00     0.00       12     0.00     0.00  std::remove_reference<double&>::type&& std::move<double&>(double&)
  0.00      0.00     0.00       11     0.00     0.00  Dvector::size()
  0.00      0.00     0.00       11     0.00     0.00  Dvector::operator=(Dvector const&)
  0.00      0.00     0.00       11     0.00     0.00  std::_Vector_base<PhilipsWave, std::allocator<PhilipsWave> >::_M_get_Tp_allocator()
  0.00      0.00     0.00       11     0.00     0.00  PhilipsWave const& std::forward<PhilipsWave const&>(std::remove_reference<PhilipsWave const&>::type&)
  0.00      0.00     0.00       10     0.00     0.00  Dvector::fft()
  0.00      0.00     0.00       10     0.00     0.00  std::vector<PhilipsWave, std::allocator<PhilipsWave> >::size() const
  0.00      0.00     0.00        9     0.00     0.00  PhilipsWave::~PhilipsWave()
  0.00      0.00     0.00        9     0.00     0.00  Dvector::operator=(Dvector&&)
  0.00      0.00     0.00        9     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<double**> >, std::is_move_constructible<double**>, std::is_move_assignable<double**> >::value, void>::type std::swap<double**>(double**&, double**&)
  0.00      0.00     0.00        8     0.00     0.00  Height::getDvect()
  0.00      0.00     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<PhilipsWave>::max_size() const
  0.00      0.00     0.00        8     0.00     0.00  PhilipsWave const* std::__make_move_if_noexcept_iterator<PhilipsWave, PhilipsWave const*>(PhilipsWave*)
  0.00      0.00     0.00        7     0.00     0.00  PhilipsWave::PhilipsWave(PhilipsWave const&)
  0.00      0.00     0.00        7     0.00     0.00  Height::~Height()
  0.00      0.00     0.00        7     0.00     0.00  void std::_Destroy<PhilipsWave>(PhilipsWave*)
  0.00      0.00     0.00        7     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00        6     0.00     0.00  __gnu_cxx::__normal_iterator<PhilipsWave*, std::vector<PhilipsWave, std::allocator<PhilipsWave> > >::__normal_iterator(PhilipsWave* const&)
  0.00      0.00     0.00        6     0.00     0.00  bool __gnu_cxx::operator!=<PhilipsWave const*, std::vector<PhilipsWave, std::allocator<PhilipsWave> > >(__gnu_cxx::__normal_iterator<PhilipsWave const*, std::vector<PhilipsWave, std::allocator<PhilipsWave> > > const&, __gnu_cxx::__normal_iterator<PhilipsWave const*, std::vector<PhilipsWave, std::allocator<PhilipsWave> > > const&)
  0.00      0.00     0.00        6     0.00     0.00  std::_Vector_base<PhilipsWave, std::allocator<PhilipsWave> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00        6     0.00     0.00  std::remove_reference<Dvector&>::type&& std::move<Dvector&>(Dvector&)
  0.00      0.00     0.00        5     0.00     0.00  Dvector::ifft()
  0.00      0.00     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<PhilipsWave>::~new_allocator()
  0.00      0.00     0.00        5     0.00     0.00  std::allocator<PhilipsWave>::~allocator()
  0.00      0.00     0.00        5     0.00     0.00  void std::_Destroy_aux<false>::__destroy<PhilipsWave*>(PhilipsWave*, PhilipsWave*)
  0.00      0.00     0.00        5     0.00     0.00  std::_Vector_base<PhilipsWave, std::allocator<PhilipsWave> >::_M_deallocate(PhilipsWave*, unsigned long)
  0.00      0.00     0.00        5     0.00     0.00  void std::_Construct<PhilipsWave, PhilipsWave const&>(PhilipsWave*, PhilipsWave const&)
  0.00      0.00     0.00        5     0.00     0.00  void std::_Destroy<PhilipsWave*>(PhilipsWave*, PhilipsWave*)
  0.00      0.00     0.00        5     0.00     0.00  void std::_Destroy<PhilipsWave*, PhilipsWave>(PhilipsWave*, PhilipsWave*, std::allocator<PhilipsWave>&)
  0.00      0.00     0.00        4     0.00     0.00  Height::Height(double, double, int, int)
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<PhilipsWave>::deallocate(PhilipsWave*, unsigned long)
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<PhilipsWave>::allocate(unsigned long, void const*)
